"dataset","symbol","name","storedSector","storedSectorKo","liveSector"
"SP500","WDAY","Workday, Inc.","Information Technology","기술","Technology"
"SP500","WYNN","Wynn Resorts","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","YUM","Yum! Brands","Consumer Discretionary","경기소비재","Consumer Cyclical"
"SP500","ZBRA","Zebra Technologies","Information Technology","기술","Technology"
"SP500","ZBH","Zimmer Biomet","Health Care","헬스케어","Healthcare"
"SP500","ZTS","Zoetis","Health Care","헬스케어","Healthcare"
"SP500","BRK-B","Berkshire Hathaway","Financials","금융","Financial Services"
"SP500","BF-B","Brown–Forman","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","PODD","Insulet Corporation","Health Care","헬스케어","Healthcare"
"SP500","KVUE","Kenvue","Consumer Staples","필수소비재","Consumer Defensive"
"SP500","RMD","ResMed","Health Care","헬스케어","Healthcare"
